uniref	P10E0	P10E7	P10E90	P11E0	P11E7	P11E90	P12E0	P12E7	P12E90	P13E0	P13E7	P13E90	P14E0	P14E7	P14E90	P15E0	P15E7	P15E90	P17E0	P17E7	P17E90	P18E0	P18E7	P18E90	P19E0	P19E7	P19E90	P1E0	P1E7	P1E90	P20E0	P20E7	P20E90	P21E0	P21E7	P21E90	P22E0	P22E7	P22E90	P23C0	P23C7	P23C90	P25C0	P25C7	P25C90	P2E0	P2E7	P2E90	P38C0	P38C7	P38C90	P3E0	P3E7	P3E90	P4E0	P4E7	P4E90	P5E0	P5E7	P5E90	P6C0	P6C7	P6C90	P7C0	P7C7	P7C90	P8C0	P8C7	P8C90	P9E0	P9E7	P9E90
UNMAPPED	0.238647	0.1639	0.189062	0.151601	0.160562	0.17241	0.146473	0.130616	0.146028	0.258411	0.230904	0.259048	0.367958	0.400418	0.274898	0.335536	0.242443	0.212873	0.245733	0.196318	0.170932	0.168612	0.172957	0.166723	0.297914	0.313891	0.266305	0.308132	0.29239	0.414292	0.142895	0.127454	0.138079	0.190007	0.151724	0.237579	0.219523	0.162026	0.175164	0.224655	0.271373	0.174558	0.205547	0.184776	0.186591	0.206952	0.190095	0.358501	0.205063	0.232049	0.187229	0.227202	0.187586	0.314535	0.239063	0.232887	0.29463	0.161745	0.142023	0.28258	0.22535	0.248192	0.347617	0.315551	0.369088	0.441687	0.278743	0.259472	0.174429	0.189408	0.131809	0.163984
UNGROUPED	0.7593172268885316	0.8330357948433748	0.8087351960131497	0.8453052208105635	0.8357968120831227	0.8247963280218283	0.8495297096752822	0.8655064084521478	0.8502640529253528	0.7398224696373598	0.7655779991613896	0.7381404820821786	0.6291528535430805	0.5975304353421705	0.722576089048337	0.6626114645017435	0.7551415498616654	0.7852177979179911	0.752326968845032	0.8011116118125212	0.8267438520204499	0.8299550157107525	0.8250903021912049	0.8315994293760571	0.7008458587797545	0.6849541529227272	0.7303237714434605	0.6909911412322353	0.7067687938163195	0.5849785974383698	0.8548132989113859	0.8701380194374804	0.8599209425773545	0.8069175753894591	0.8447392824223167	0.7609014895824985	0.7780675870819432	0.8347523654374862	0.8219328137499066	0.7737163459470726	0.7276002521729146	0.823429815112084	0.7919252783069247	0.8128700799393193	0.8109250809085508	0.7908669826291541	0.8074700475723462	0.6401232844548698	0.7928862043754735	0.7658610278645475	0.8100723630842334	0.770561566485687	0.8094298943774454	0.6833872579436591	0.7540179894448983	0.7612014669355703	0.7030983400319267	0.8351539181480636	0.8546020523718628	0.7150331755817237	0.7728503102459359	0.7497458882666268	0.6507315665526501	0.6823354503314358	0.6294071078689149	0.5566597548255411	0.7182293975014569	0.7375790172907043	0.822209816967965	0.8081914904217136	0.8645427051427768	0.8335007680895165
UNGROUPED|g__Absiella.s__Absiella_dolichum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035934323160999955	0.0	0.0	0.0	0.0	6.447569697000006e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UNGROUPED|g__Acidaminococcus.s__Acidaminococcus_intestini	0.0	0.0	0.0	0.003433604080900005	0.0	0.009874071625000006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015407379652999996	0.0004583725626000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UNGROUPED|g__Acidaminococcus.s__Acidaminococcus_intestini_CAG_325	0.0	0.0	0.0	0.0029141001659999995	0.0	0.008110504327999988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.682384663e-05	0.0003040097109000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UNGROUPED|g__Actinomyces.s__Actinomyces_odontolyticus	0.0001001712467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UNGROUPED|g__Actinomyces.s__Actinomyces_sp_HPA0247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.463758920000001e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UNGROUPED|g__Actinomyces.s__Actinomyces_sp_S6_Spd3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3666122699999998e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1713881699999987e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UNGROUPED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	0.0007386861238999982	0.0	0.0	0.00031843817190000003	0.0	0.0004984446613800005	0.0002717322809000004	0.0	0.0	0.0006677954420999991	0.0	0.00048801739969999965	0.0008696951027999994	0.0	0.0012892562742999965	0.00029159155149999976	0.0	0.00030225917410000024	0.0002759154528600001	0.0002528630228999998	0.0002993543799600002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011359514388	0.0	0.0003992459575900008	0.0	0.0002549289724399998	0.0	0.0	0.0	0.0006019822245999992	0.0	0.0005291458333399993	0.0007163153261200009	0.0	0.00025831065229	0.0011857836213000014	0.0015204449675299992	0.0006634666664399988	0.0008238981232700001	0.0006420477126999998	0.0005588101628800008	0.0005318333320000017	0.0006259060486999993	0.003582328293200003	0.0005297555006999985	0.0	0.0	0.00033673582436	0.0	5.817684513000005e-05	0.0003698102636600007	0.00036699418372000144	8.288421848000006e-05	0.0016887935501999967	0.004416933136099998	0.0008505487368000008	0.0017589730121000005	0.002208870980200002	0.0013490971347999993	0.0002761132681199998	0.0003559199380200003	0.00028033446577999956	0.0005004306443000005	0.00014162501059999992	0.0006558056970500006
UNGROUPED|g__Akkermansia.s__Akkermansia_muciniphila	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003773988284699997	0.0	0.0008631302779999991	0.0	0.0	0.0	0.0	0.007528377512790006	0.0	0.0	0.0	0.009972015515839983	0.02176987734204005	0.0	0.0	0.043559224525340064	0.03336567294458009	0.023009593790569927	0.042146874287400056	0.04344519748939989	0.015571497703900001	0.0	0.0	0.0	0.02278800579050996	0.01521592430689001	0.13880031875733978	0.0	0.0	0.0	0.0011967489719000013	0.003103452356370001	0.0	0.0017879879971000035	0.00011563942255000004	0.011798565628299982	0.0013495074051900033	0.0018882226256000062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020495096518799985	0.0	0.0	0.0	0.0	0.0	0.0	0.0011026781080999987	0.012327655270499999	0.01904268599293002	0.015893495729999985	0.0	0.0	0.0	0.0	0.0	0.0
