	S1	S2	Distance
0	P10E90	P11E0	0.007937673419228183
1	P10E90	P12E0	0.007632382356037477
2	P10E90	P12E90	0.007361172880212247
3	P10E90	P13E0	0.006873870403839886
4	P10E90	P14E0	0.0076000692767708876
5	P10E90	P14E90	0.007107139549958329
6	P10E90	P15E0	0.006946148184494603
7	P10E90	P15E90	0.007508226371505217
8	P10E90	P17E0	0.006709128137063684
9	P10E90	P17E90	0.006834007358530726
10	P10E90	P18E90	0.006342294585384324
11	P10E90	P19E0	0.007025458743468222
12	P10E90	P19E90	0.007107347845128969
13	P10E90	P20E0	0.006447030541441294
14	P10E90	P20E90	0.0075920433209066916
15	P10E90	P21E0	0.007444245621373738
16	P10E90	P22E0	0.006693696450428397
17	P10E90	P25C0	0.00777573153263761
18	P10E90	P25C7	0.007810724404915226
19	P10E90	P25C90	0.007713272750738303
20	P10E90	P2E0	0.007524048864559528
21	P10E90	P2E7	0.007425629464897717
22	P10E90	P38C0	0.007309110950947556
23	P10E90	P38C7	0.007342503935788577
24	P10E90	P38C90	0.007119767038016618
25	P10E90	P4E0	0.007902777066584737
26	P10E90	P5E0	0.006540016292402515
27	P10E90	P6C0	0.007536392113506541
28	P10E90	P6C90	0.007639063775880095
29	P10E90	P7C0	0.006299566904775297
30	P10E90	P7C7	0.006132111428256837
31	P10E90	P8C0	0.007089502594415829
32	P10E90	P8C7	0.006857107235806567
33	P10E90	P9E0	0.008411985396793352
34	P10E90	P9E90	0.006884812763579
35	P11E0	P12E0	0.007395127342467535
36	P11E0	P12E90	0.006949882537196555
37	P11E0	P13E0	0.007159773844237272
38	P11E0	P14E0	0.007308881340406854
39	P11E0	P14E90	0.007195623017478126
40	P11E0	P15E0	0.007415758662222347
41	P11E0	P15E90	0.006981840302500328
42	P11E0	P17E0	0.007189110022377685
43	P11E0	P17E90	0.007420536126838755
44	P11E0	P18E90	0.007567919545635423
45	P11E0	P19E0	0.007425828066176217
46	P11E0	P19E90	0.007432555150397474
47	P11E0	P20E0	0.006631423925905117
48	P11E0	P20E90	0.004080307105563374
49	P11E0	P21E0	0.006816963807209976
50	P11E0	P22E0	0.007098368071262048
51	P11E0	P25C0	0.007373023974397881
52	P11E0	P25C7	0.007402863267599032
53	P11E0	P25C90	0.007297908071237535
54	P11E0	P2E0	0.007474956822107081
55	P11E0	P2E7	0.007330220183740491
56	P11E0	P38C0	0.007117327117327117
57	P11E0	P38C7	0.007163156913902348
58	P11E0	P38C90	0.007461321824366336
59	P11E0	P4E0	0.006969930609097918
60	P11E0	P5E0	0.007420206651013398
61	P11E0	P6C0	0.004066762687452342
62	P11E0	P6C90	0.004185642273596384
63	P11E0	P7C0	0.006533781195674593
64	P11E0	P7C7	0.006385042088521665
65	P11E0	P8C0	0.008794637499785705
66	P11E0	P8C7	0.00830228241927943
67	P11E0	P9E0	0.008617977269413471
68	P11E0	P9E90	0.0067236830841783
69	P12E0	P12E90	0.0002923786628549152
70	P12E0	P13E0	0.007971543811731825
71	P12E0	P14E0	0.007608094221800648
72	P12E0	P14E90	0.007354885627396536
73	P12E0	P15E0	0.007176954732510288
74	P12E0	P15E90	0.00758081046347058
75	P12E0	P17E0	0.007589708286722313
76	P12E0	P17E90	0.007583982887423228
77	P12E0	P18E90	0.008362262085948322
78	P12E0	P19E0	0.007091277890466531
79	P12E0	P19E90	0.007277878181018903
80	P12E0	P20E0	0.007332536612043995
81	P12E0	P20E90	0.006817055032226078
82	P12E0	P21E0	0.0076970947561494875
83	P12E0	P22E0	0.006929123563922799
84	P12E0	P25C0	0.008132452047693105
85	P12E0	P25C7	0.008132452047693105
86	P12E0	P25C90	0.008077465816748577
87	P12E0	P2E0	0.007426823940585408
88	P12E0	P2E7	0.007305299987041596
89	P12E0	P38C0	0.006600086843247937
90	P12E0	P38C7	0.006641689373297003
91	P12E0	P38C90	0.007175925925925926
92	P12E0	P4E0	0.008933002481389578
93	P12E0	P5E0	0.0074724270704170205
94	P12E0	P6C0	0.00809274543177366
95	P12E0	P6C90	0.007167874888001955
96	P12E0	P7C0	0.007006923308471856
97	P12E0	P7C7	0.006943859235164242
98	P12E0	P8C0	0.009188633057792599
99	P12E0	P8C7	0.00847596833010283
100	P12E0	P9E0	0.008373020648866117
101	P12E0	P9E90	0.0066832396598933
102	P12E90	P13E0	0.007002896343536259
103	P12E90	P14E0	0.007615890867636775
104	P12E90	P14E90	0.007483754690547096
105	P12E90	P15E0	0.007319972471898396
106	P12E90	P15E90	0.006801504721165815
107	P12E90	P17E0	0.007146983454548147
108	P12E90	P17E90	0.0073489441053623894
109	P12E90	P18E90	0.007727775463594709
110	P12E90	P19E0	0.006973673351489643
111	P12E90	P19E90	0.006985679357317499
112	P12E90	P20E0	0.006375474769397721
113	P12E90	P20E90	0.006657117070868489
114	P12E90	P21E0	0.0073890752309972415
115	P12E90	P22E0	0.006953958566861792
116	P12E90	P25C0	0.0076612847912865744
117	P12E90	P25C7	0.007673581347505572
118	P12E90	P25C90	0.0076196365385276035
119	P12E90	P2E0	0.007130345182895415
120	P12E90	P2E7	0.006989973004242191
121	P12E90	P38C0	0.006551708096205437
122	P12E90	P38C7	0.006481265999534559
123	P12E90	P38C90	0.007042079818459869
124	P12E90	P4E0	0.008647227163740428
125	P12E90	P5E0	0.0073700651243219124
126	P12E90	P6C0	0.007171206159401775
127	P12E90	P6C90	0.006708429589238763
128	P12E90	P7C0	0.006583824490065545
129	P12E90	P7C7	0.006387898566976266
130	P12E90	P8C0	0.008373955431754874
131	P12E90	P8C7	0.008016541172983692
