	S1	S2	Distance
0	P10E90	P12E0	0.008772219107608087
1	P10E90	P13E0	0.007676891642241182
2	P10E90	P13E90	0.008523429671945554
3	P10E90	P15E0	0.008544764854896504
4	P10E90	P15E90	0.004897980565232196
5	P10E90	P18E0	0.008285095953274927
6	P10E90	P18E90	0.008266079088384464
7	P10E90	P20E0	0.008603771623149604
8	P10E90	P20E90	0.008591835806248253
9	P10E90	P21E0	0.009329946138402864
10	P10E90	P21E90	0.009324054761765527
11	P10E90	P22E0	0.008631263048016702
12	P10E90	P22E90	0.008648465321349838
13	P10E90	P23C0	0.00842976174215076
14	P10E90	P23C7	0.008200159939170676
15	P10E90	P23C90	0.008985405015031658
16	P10E90	P2E0	0.005170760736601977
17	P10E90	P2E7	0.005789917851534542
18	P10E90	P2E90	0.007716522090499684
19	P10E90	P4E0	0.008956348355837864
20	P10E90	P4E90	0.009636632278141712
21	P10E90	P5E0	0.009887328917167463
22	P10E90	P5E90	0.00990603974185449
23	P10E90	P8C0	0.009926434526728789
24	P10E90	P8C7	0.009919960241688681
25	P10E90	P8C90	0.0099261099849604
26	P12E0	P13E0	0.006434156287117079
27	P12E0	P13E90	0.007644223766126019
28	P12E0	P15E0	0.0076003857674792905
29	P12E0	P15E90	0.00419404802121245
30	P12E0	P18E0	0.009234904116219677
31	P12E0	P18E90	0.009229358148778018
32	P12E0	P20E0	0.005828655236939261
33	P12E0	P20E90	0.005834866329091518
34	P12E0	P21E0	0.009213996167685876
35	P12E0	P21E90	0.00921469544704238
36	P12E0	P22E0	0.007513574141578934
37	P12E0	P22E90	0.0075192761103676795
38	P12E0	P23C0	0.009229984701682814
39	P12E0	P23C7	0.00897780788130124
40	P12E0	P23C90	0.010100040016006402
41	P12E0	P2E0	0.005352547606793618
42	P12E0	P2E7	0.006307416651994241
43	P12E0	P2E90	0.007846346089195893
44	P12E0	P4E0	0.008591043568412268
45	P12E0	P4E90	0.008692719370255118
46	P12E0	P5E0	0.009082981662179279
47	P12E0	P5E90	0.009101207978513512
48	P12E0	P8C0	0.009127421089816625
49	P12E0	P8C7	0.00912105608208314
50	P12E0	P8C90	0.0091270725264933
51	P13E0	P13E90	3.10709536297088e-05
52	P13E0	P15E0	0.0067081875260558135
53	P13E0	P15E90	0.004085147033869012
54	P13E0	P18E0	0.008154420422376431
55	P13E0	P18E90	0.008075370121130552
56	P13E0	P20E0	0.006976135258472358
57	P13E0	P20E90	0.007031648641585045
58	P13E0	P21E0	0.008673485248857525
59	P13E0	P21E90	0.00862305809480993
60	P13E0	P22E0	0.00797045101088647
61	P13E0	P22E90	0.007999548614811704
62	P13E0	P23C0	0.007153481571118842
63	P13E0	P23C7	0.007060816576799813
64	P13E0	P23C90	0.007639031966654516
65	P13E0	P2E0	0.004630925421744994
66	P13E0	P2E7	0.0052935315120817075
67	P13E0	P2E90	0.006651176481640373
68	P13E0	P4E0	0.008167984484559153
69	P13E0	P4E90	0.0022240825659415493
70	P13E0	P5E0	0.0006497563413719855
71	P13E0	P5E90	0.0006497279264308071
72	P13E0	P8C0	0.0006747511855003468
73	P13E0	P8C7	0.0006684993127577159
74	P13E0	P8C90	0.0006747216773081
75	P13E90	P15E0	0.008266856390915902
76	P13E90	P15E90	0.004791350483525029
77	P13E90	P18E0	0.00876765708718948
78	P13E90	P18E90	0.008735294855394185
79	P13E90	P20E0	0.008383307957617376
80	P13E90	P20E90	0.008386628538108915
81	P13E90	P21E0	0.009464250297500991
82	P13E90	P21E90	0.009430086644756499
83	P13E90	P22E0	0.008672815382210411
84	P13E90	P22E90	0.008701631555916734
85	P13E90	P23C0	0.008177247014456317
86	P13E90	P23C7	0.00808723880361814
87	P13E90	P23C90	0.00889884662112056
88	P13E90	P2E0	0.005323131193929473
89	P13E90	P2E7	0.006230465111465298
90	P13E90	P2E90	0.007536307895952747
91	P13E90	P4E0	0.00926390670409409
92	P13E90	P4E90	0.004130017691176837
93	P13E90	P5E0	0.0030717085054549308
94	P13E90	P5E90	0.003090130894455832
95	P13E90	P8C0	0.0031090923817890677
96	P13E90	P8C7	0.0031028424030205984
97	P13E90	P8C90	0.0031089567861237
98	P15E0	P15E90	8.236136365076248e-05
99	P15E0	P18E0	0.009729277778481574
100	P15E0	P18E90	0.009704371401242818
101	P15E0	P20E0	0.008642705279975845
102	P15E0	P20E90	0.008662175168431183
103	P15E0	P21E0	0.009858844980980226
104	P15E0	P21E90	0.009840663002879887
105	P15E0	P22E0	0.009392142562704126
106	P15E0	P22E90	0.009426905033599595
107	P15E0	P23C0	0.008962243222858157
108	P15E0	P23C7	0.008753917648330271
109	P15E0	P23C90	0.009845310732663173
110	P15E0	P2E0	0.005612081653548346
111	P15E0	P2E7	0.006755124124092576
112	P15E0	P2E90	0.00793435550706082
113	P15E0	P4E0	0.008754894381909484
114	P15E0	P4E90	0.007907630800663383
115	P15E0	P5E0	0.007997931134533023
116	P15E0	P5E90	0.008022300987651207
117	P15E0	P8C0	0.008029418072182765
118	P15E0	P8C7	0.008041830131318355
119	P15E0	P8C90	0.0080416779670638
120	P15E90	P18E0	0.0057237336160491726
121	P15E90	P18E90	0.005699750044184109
122	P15E90	P20E0	0.005054437230796278
123	P15E90	P20E90	0.0050581974765423745
124	P15E90	P21E0	0.005625790931074664
125	P15E90	P21E90	0.005607734287379151
126	P15E90	P22E0	0.005509258966761225
127	P15E90	P22E90	0.00555225690715919
128	P15E90	P23C0	0.005257364105678713
129	P15E90	P23C7	0.0050190992271475525
130	P15E90	P23C90	0.004899153782528472
131	P15E90	P2E0	0.001950983142485527
132	P15E90	P2E7	0.002727603976888241
133	P15E90	P2E90	0.003593055101886982
134	P15E90	P4E0	0.004746756174540354
135	P15E90	P4E90	0.004852961567065408
136	P15E90	P5E0	0.005043309419641168
137	P15E90	P5E90	0.005061679368141047
138	P15E90	P8C0	0.005068494014259867
139	P15E90	P8C7	0.005080974084510594
140	P15E90	P8C90	0.0050808779958899
141	P18E0	P18E90	0.0
142	P18E0	P20E0	0.010051067925967133
143	P18E0	P20E90	0.010057587801119313
144	P18E0	P21E0	0.009608849369906405
145	P18E0	P21E90	0.009598948060486522
146	P18E0	P22E0	0.009032330855344809
147	P18E0	P22E90	0.009067779615982353
148	P18E0	P23C0	0.00947630607393921
149	P18E0	P23C7	0.009276226104048442
150	P18E0	P23C90	0.009148039137697876
151	P18E0	P2E0	0.0057010431696012465
152	P18E0	P2E7	0.0071186229003184645
153	P18E0	P2E90	0.00848027237378528
154	P18E0	P4E0	0.009786077590505635
155	P18E0	P4E90	0.010449627915702583
156	P18E0	P5E0	0.010708700819415775
157	P18E0	P5E90	0.010726325467361323
158	P18E0	P8C0	0.010739909051672911
159	P18E0	P8C7	0.010745895230648944
160	P18E0	P8C90	0.0107456935913634
161	P18E90	P20E0	0.010053530973284718
162	P18E90	P20E90	0.01006196314790334
163	P18E90	P21E0	0.009599669365595236
164	P18E90	P21E90	0.009588045942459199
165	P18E90	P22E0	0.009051311747822146
166	P18E90	P22E90	0.009086504275816936
167	P18E90	P23C0	0.009470104057351658
168	P18E90	P23C7	0.009270179443281974
169	P18E90	P23C90	0.009148039137697876
170	P18E90	P2E0	0.005688638046837092
171	P18E90	P2E7	0.007119067443796836
172	P18E90	P2E90	0.008462649996858704
173	P18E90	P4E0	0.00979606655065787
174	P18E90	P4E90	0.010281048830271628
175	P18E90	P5E0	0.010541194207996984
176	P18E90	P5E90	0.01055891257647517
177	P18E90	P8C0	0.010572537785986205
178	P18E90	P8C7	0.010578553929266914
179	P18E90	P8C90	0.0105783545758921
180	P20E0	P20E90	0.0
181	P20E0	P21E0	0.009133553399022115
182	P20E0	P21E90	0.009144879054613865
183	P20E0	P22E0	0.008938065274772014
184	P20E0	P22E90	0.008935997248538287
185	P20E0	P23C0	0.009487928165520706
186	P20E0	P23C7	0.009181591475855814
187	P20E0	P23C90	0.009833275552333827
